t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
1611.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1615.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1620.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1625.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1630.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1635.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1640.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1643.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1647.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1652.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1657.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1662.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1667.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1672.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1675.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1678.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1683.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1688.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1693.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1698.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1703.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1708.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1710.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1715.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1720.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1725.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1730.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1735.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1740.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1741.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1746.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1751.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1756.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1761.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1766.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1771.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1772.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1777.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1782.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1787.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1792.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1797.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1802.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
